title,percentage of dislike
"平安夜還留在這噓文的都哪種人？
",89.0
"陳雪生敗訴 　范雲：道歉很難嗎？
",87.0
"林智堅當市長7年「進化圖」 網朝聖：鮮
",75.0
"李靚蕾是不是把王力宏當作提款機??
",72.0
"審查預算延宕游錫堃道歉了 喊話朝野政黨
",82.0
"唐綺陽警告聖誕節有危機！
",91.0
"為什麼擁核不尊重民意好好認輸？
",90.0
"李靚蕾精神控制王力宏把他當猴耍的八卦
",68.0
"高考公務員第一年領好領滿才60初頭萬
",70.0
"高考公務員第一年領好領滿才60初頭萬
",74.0
"專訪3-2》加入民進黨沒急迫性 林昶佐：不
",87.0
"王美花：台灣今年冬天沒有缺電問題
",73.0
"《地制法》明拚遞案 柯建銘：竹竹併
",87.0
"快訊／李靚蕾再發3點聲明「到此為止」
",73.0
"福島食品將解禁？蘇貞昌：食安第一不要造
",67.0
"竹竹併 楊文科「不服氣」林智堅回嗆：是
",77.0
"為何竹竹拼不把苗栗也一起合併了？
",68.0
"柯建銘：柯家七代都在新竹 縣市合併升格
",74.0
"王力宏 確定 李靚蕾生的三個小孩 都他的?
",89.0
"北市社宅開工　蔡英文：量能不足中央不
",71.0
"封殺柯文哲覆議案　梁文傑：公投案柯文
",77.0
"陳吉仲：全世界假新聞最多的是在台灣　曝
",79.0
"李靚蕾心機超重 學古代嬪妃靠受精懷孕上位
",81.0
"呱吉自爆「我也性成癮」！82秒片流出
",84.0
"呱吉自爆「我真的性成癮」　網翻「1分鐘
",73.0
"睡覺聞到檀香味！爸聽1句連夜奔醫院　她
",83.0
"說穿了李靚蕾就是想要錢嘛
",67.0
"說穿了李靚蕾就是想要錢嘛
",84.0
"說穿了李靚蕾就是想要錢嘛
",83.0
"志祺七七 評論王力宏事件
",88.0
"老婆要高品質生活又有三個孩子？
",73.0
"現在想想，李靜蕾還真是可怕的人啊！
",79.0
"蔡英文：新竹縣市合併升格迫切 盼立委支
",83.0
"蔡英文：新竹縣市合併升格迫切 盼立委支持修法
",81.0
"竹竹若併成是否參選 林智堅：服務民眾心
",67.0
"蔡英文完整說明「大新竹合併升格」原因
",80.0
"蔡英文表態挺大新竹合併升格　「希望黨
",69.0
"明年恐缺電 核四前廠長拋「讓郭台銘接手
",80.0
"藍綠甲動員！就是要恢復重陽敬老金 呱吉
",88.0
"推薦第三劑選高端又好又安全 李秉穎透露
",81.0
"By2妹妹Yumi驚傳吞藥輕生！　友發文批王
",69.0
"YUMI吞藥自殺了! 就是被酸民逼上絕路的!
",78.0
"By2妹妹Yumi驚傳吞藥輕生！　友發文批王
",67.0
"喊前妻日文名遭全網噴！雞排妹砲轟:王力宏
",82.0
"蕾蕾適可而止好嗎??再來要換VVN自殺了
",76.0
"BBS要殺死多少女孩子你們才開心??
",76.0
"「沒蔡英文，半導體沒今天」　他：小英
",71.0
"李靚蕾是牡羊座！財經網美嘆王力宏慘了
",81.0
"中國窮瘋了 開罰直播主逃稅 罰58.5億
",89.0
"李靚蕾是不是也心機很重？
",70.0
"核四剩餘空地 火力電廠列選項
",68.0
"李靚蕾是不是也心機很重？
",72.0
"李靚蕾是不是也心機很重？
",81.0
"半導體成護國神山 他：功勞給蔡英文
",78.0
"直播主丁特控《天堂M》機率不實 遊戲橘子提告
",68.0
"邱顯智 FB
",77.0
"只有我覺得李靚蕾一直影射很煩嗎
",68.0
"只有我覺得李靚蕾一直影射很煩嗎
",85.0
"如何避開林秉樞 李靚蕾這種毀滅性攻擊者?
",71.0
"直播主丁特控《天堂M》機率不實 遊戲橘子提告
",86.0
"直播主丁特控《天堂M》機率不實 遊戲橘子提告
",88.0
"唐綺陽流冷汗說重話　轟王力宏「3心態母湯」沒解答問題
",80.0
"說真的 喊綠共的到底什麼人?
",80.0
"為什麼人相信神創造宇宙？
",79.0
"唐綺陽轟王力宏「還在演好人」抓道歉文
",88.0
"國民黨執政半導體還不是護國神山 黃崇仁
",69.0
"蕾蕾的第一篇小作文越看越怪？
",81.0
"王力宏愛李靚蕾!李卻恩將仇報!恐怖情人!
",80.0
"獨家／李靚蕾親哥哥說話！175字酸爆王力
",71.0
"李靚蕾沒打臉徐若瑄.是不是代表徐是清白?
",72.0
"震驚！億萬富翁三寶媽竟是網路鄉民
",82.0
"以大學併校喻大新竹合併 柯建銘：老兵
",72.0
"福島食品解禁？ 蘇貞昌：政府態度就是食
",74.0
"郭台銘「明年一定缺電」卓冠廷打臉：核四
",73.0
"所以搞了老半天蕾神只是想要吾疆?
",85.0
"用另一種角度看王力宏事件 (文長慎看)
",92.0
"竹竹合併升格 蘇貞昌:符合多數民眾的意쌱
",69.0
"=.= 王力宏事件證明台灣女權過頭了？！
",84.0
"風向果然被改成愛錢了
",74.0
"哇靠 中山站的大奶妹太多了吧
",81.0
"唐綺陽也看不下去 怒轟王力宏「還在演
",76.0
"批王力宏「性別刻板印象」　王婉諭：這
",74.0
"王力宏道歉宣布暫退演藝圈！唐綺陽看不下
",94.0
